창원,연무,9.3,0,0,14.1,0.6,13.1, , ,40,남남동,,1012.3
천안, ,16.0, , ,16.8,-2.8,16.2, , ,26,남서,,1008.7
철원, ,20 이상, , ,11.9,2.6,9.9,0.0, ,53,남남서,,1005.5
청송군, ,20 이상, , ,16.2,-4.9,15.7, , ,23,서,,1008.3
청주,연무,9.0,0,0,16.2,-3.3,15.7, , ,26,서남서,,1008.5
추풍령, ,16.4, , ,15.6,-4.3,14.1, , ,25,서,,1009.0
춘천, ,9.5, , ,14.5,-1.2,13.9, , ,34,남남서,,1005.8
충주, ,9.4, , ,15.8,-2.7,15.4, , ,28,남서,,1007.6
태백, ,12.8, , ,10.6,-8.1,8.6, , ,26,남서,,1006.6
통영, ,8.4, , ,13.8,5.4,12.7, , ,57,남남서,,1013.7
파주,흐림,17.7,10,2,11.1,0.7,8.5, , ,49,남서,,1007.6
포항,맑음,16.6,0,0,17.6,-7.7,17.3, , ,17,남서,,1010.1
함양군, ,14.0, , ,16.3,-4.9,15.4, , ,23,서,,1010.6
합천, ,10.1, , ,16.0,-0.7,15.3, , ,32,남남서,,1010.6
해남, ,9.4, , ,13.9,5.5,12.3, , ,57,남서,,1014.0
홍성,구름많음,19.0,6,0,14.1,-3.2,12.2, , ,30,남서,,1009.5
홍천, ,19.4, , ,14.6,-1.5,14.0, , ,33,남남서,,1006.3
흑산도,맑음,18.7,0,0,12.2,5.5,9.0, , ,64,남,,1011.8
